occurrences	io_formula	display_formula
228	[1,95]([1,58]([5,4,"20011201000000"]),[5,2,"200"])	TO_DATE('01.12.01')-200
135	[1,95]([1,58]([5,4,"20010314000000"]),[5,2,"0"])	TO_DATE('01.03.14')-0
126	[1,95]([1,58]([5,4,"20010314000000"]),[5,2,"30"])	TO_DATE('01.03.14')-30
112	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20030401000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('03.04.01')-Ffkf Dfjvysrcub)
94	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021231000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.12.31')-Ffkf Dfjvysrcub)
88	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
88	[1,55]([5,4,"20150101000000"],[5,1,"YYYY"])	TO_CHAR('15.01.01','YYYY')
76	[1,95]([1,58]([5,4,"20020313000000"]),[5,2,"90"])	TO_DATE('02.03.13')-90
57	[1,95]([1,58]([5,4,"20011201000000"]),[5,2,"90"])	TO_DATE('01.12.01')-90
56	[1,95]([1,58]([5,4,"20020415000000"]),[5,2,"30"])	TO_DATE('02.04.15')-30
56	[1,95]([1,58]([5,4,"20020415000000"]),[5,2,"60"])	TO_DATE('02.04.15')-60
56	[1,95]([1,58]([5,4,"20021231000000"]),[6,18])	TO_DATE('02.12.31')-Ffkf Dfjvysrcub
54	[1,95]([1,58]([5,4,"20021031000000"]),[5,2,"0"])	TO_DATE('02.10.31')-0
54	[1,95]([1,58]([5,4,"20021031000000"]),[5,2,"30"])	TO_DATE('02.10.31')-30
45	[1,95]([1,58]([5,4,"20020914000000"]),[5,2,"0"])	TO_DATE('02.09.14')-0
45	[1,95]([1,58]([5,4,"20020914000000"]),[5,2,"365"])	TO_DATE('02.09.14')-365
42	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20060331000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('06.03.31')-Ffkf Dfjvysrcub)
38	[1,102]([6,138],[5,2,"5"],[1,94]([1,95]([1,58]([5,4,"20021031000000"]),[1,49]([6,197])),[5,2,"30"]),[1,95]([1,58]([5,4,"20021031000000"]),[1,49]([6,197])))	DECODE(Ferafdau,5,TO_DATE('02.10.31')-TRUNC(Aj Uxhyqg)+30,TO_DATE('02.10.31')-TRUNC(Aj Uxhyqg))
38	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"19000331000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('00.03.31')-Ffkf Dfjvysrcub)
38	[1,95]([1,58]([5,4,"20011211000000"]),[5,2,"200"])	TO_DATE('01.12.11')-200
38	[1,95]([1,58]([5,4,"20011211000000"]),[5,2,"90"])	TO_DATE('01.12.11')-90
38	[1,95]([1,58]([5,4,"20020313000000"]),[5,2,"200"])	TO_DATE('02.03.13')-200
38	[1,95]([1,58]([5,4,"20020313000000"]),[5,2,"30"])	TO_DATE('02.03.13')-30
36	[1,102]([6,17],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,17]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
36	[1,102]([6,254],[5,2,"5"],[1,94]([1,95]([1,58]([5,4,"20020731000000"]),[1,49]([6,291])),[5,2,"30"]),[1,95]([1,58]([5,4,"20020731000000"]),[1,49]([6,291])))	DECODE(Ferafdau,5,TO_DATE('02.07.31')-TRUNC(Aj Uxhyqg)+30,TO_DATE('02.07.31')-TRUNC(Aj Uxhyqg))
36	[1,95]([1,58]([5,4,"20011201000000"]),[6,170])	TO_DATE('01.12.01')-Aj Uxhyqg
36	[1,95]([1,58]([5,4,"20011201000000"]),[6,197])	TO_DATE('01.12.01')-Aj Uxhyqg
36	[1,95]([1,58]([5,4,"20011201000000"]),[6,264])	TO_DATE('01.12.01')-Aj Uxhyqg
36	[1,95]([1,58]([5,4,"20011201000000"]),[6,291])	TO_DATE('01.12.01')-Aj Uxhyqg
36	[1,95]([1,58]([5,4,"20020314000000"]),[6,291])	TO_DATE('02.03.14')-Aj Uxhyqg
36	[1,95]([1,58]([5,4,"20020914000000"]),[1,61]([5,2,"1"]))	TO_DATE('02.09.14')-TO_NUMBER(1)
36	[1,95]([1,58]([5,4,"20020914000000"]),[1,61]([5,2,"30"]))	TO_DATE('02.09.14')-TO_NUMBER(30)
32	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20030626000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('03.06.26')-Ffkf Dfjvysrcub)
30	[1,95]([1,58]([5,4,"20030131000000"]),[6,18])	TO_DATE('03.01.31')-Ffkf Dfjvysrcub
28	[1,95]([1,58]([5,4,"20020415000000"]),[5,2,"90"])	TO_DATE('02.04.15')-90
27	[1,42]([1,43]([1,48]()),[5,2,"-1"])	ADD_MONTHS(LAST_DAY(SYSDATE),-1)
27	[1,42]([1,58]([5,1,"40-CZB-3756"],[5,1,"dd-mon-yyyy"]),[5,2,"-1"])	ADD_MONTHS(TO_DATE('40-CZB-3756','dd-mon-yyyy'),-1)
27	[1,42]([1,58]([5,1,"45-HIS-4454"],[5,1,"dd-mon-yyyy"]),[5,2,"-1"])	ADD_MONTHS(TO_DATE('45-HIS-4454','dd-mon-yyyy'),-1)
